,wAP0021_d0_1A,wAP0022_d0_4A,wAP0023_d4_8A,wAP0024_d4_49A,wAP0025_d8_9A,wAP0026_d8_71A,wAP0028_d4_52A,wAP0030_d8_53A,wAP0032_d8_74A,wAP0033_d0_75A,wAP0035_d0_80A,wAP0036_d4_76A,wAP0022_d4_2A,wAP0026_d0_10A,wAP0029_d8_50A,wAP0030_d0_51A,wAP0033_d8_20A,wAP0037_d4_31A,wAP0041_d0_41A,wAP0042_d0_87A,wAP0042_d4_42A,wAP0043_d8_40A,wAP0045_d4_88A,wAP0046_d0_46A,wAP0047_d4_47A,wAP0050_d0_93A
A0A1B0GUC4,-0.487521025,1.370238362,-0.393308408,0.698463016,-0.846344693,1.394549344,0.556281367,-0.050167688,-1.309403282,-0.020103093,0.15455472,-0.071103319,0.11480981,0.092006632,-0.231202977,0.594886877,-1.309966686,NA,0.378044923,-0.458686604,0.572136419,-0.197101411,0.825211872,-0.611497107,-0.17832574,0.482365389
A0A1W2PR48,-0.288906623,-0.270262977,0.218396496,-0.07439313,-0.796731332,-0.227189568,0.057695275,0.124031548,-0.259037325,0.095902685,0.342527695,-0.112921968,-0.175461299,0.311390429,0.032499668,0.373659194,0.245852969,NA,0.00073641,-0.106559662,0.182445226,-0.310376311,0.557765053,-0.206325818,0.357081085,-0.104131455
A0AVT1,-0.183089646,0.009162016,0.219490001,0.243852394,-0.650616921,0.307061717,0.105183744,-0.140670549,-0.013656059,0.502161874,0.402708112,0.330147606,-0.74918339,0.34500145,-0.450940078,-0.186810846,0.020774537,-1.965179772,-0.02726937,-0.024723581,0.220714248,0.189780332,-0.071044016,-0.207549161,0.374568808,-0.361787961
A0MZ66,0.278933442,-0.810376513,-0.530669572,0.002628545,-0.762640344,0.335529136,-0.177533979,-0.673461881,-0.213961031,-0.397110665,0.34135776,-0.370558499,-0.856549056,-0.219027468,0.11272554,0.078854796,-0.261364642,NA,-0.105408338,-0.457198119,0.176480536,-0.553754039,-0.297458197,0.141276442,-0.044216409,0.566030819
A4D1E9,-0.875324691,-0.725341321,0.476799288,-0.111156525,-0.01619096,-0.944347302,-1.137961148,-0.041994297,0.404823012,-0.648387837,0.637373127,-0.133379653,0.644951751,0.662112636,0.894397662,0.201329508,0.127878672,-0.16541029,-0.51990976,1.307805672,-0.216565514,0.94417843,1.148826691,-0.184350068,0.914075618,0.188464099
A6ND01,1.007587256,-0.918283263,0.834234823,1.627735533,-0.381509703,-0.323675907,0.542290541,-0.661863767,-0.537074541,-0.440502896,1.188561371,0.865142994,0.453670541,-0.344131971,1.009129267,-0.163934313,-0.107779223,1.33913787,0.021027227,-0.704595417,1.188902095,0.8062663,0.104570703,1.356178359,-0.174779697,-0.514447797
A6NDG6,1.15597283,0.711159862,0.758852626,0.68181763,-3.106641726,-0.953597716,0.109448925,-0.836125981,-0.39703337,-0.588117468,0.886084086,0.245892825,-0.304830922,1.093722111,NA,-0.576455195,-0.302527682,NA,0.069828592,0.53390589,0.762660842,-0.451128555,-0.651690636,0.776918026,-0.124043384,0.662204343
A6NDX5,-0.01250369,-0.373159489,-0.292575453,-0.444790748,-0.644668738,0.13495635,-0.397398092,0.329966072,-0.166024016,-0.769160282,0.178557512,-0.199103348,-0.92727726,-0.366832521,-0.266456938,-0.158891901,-0.291017243,0.280048834,-0.077652719,-0.111043125,-0.147179764,-0.209736012,0.030096566,0.130387857,-0.070369035,0.138665852
A6NGQ2,-0.135056299,0.310845944,-0.333751688,-0.723034851,-0.395782663,0.423753243,-0.000703594,0.114265925,0.539921467,-0.13240672,0.392342267,-0.250160161,-0.469984194,0.069328428,-0.125275558,-0.225455331,-0.014501795,0.433922212,0.071794086,0.203455295,0.575380036,-0.02012948,0.084816297,-0.101292677,0.357063746,0.559463347
A6NKN8,-1.662425271,-0.720058328,-0.975694807,-0.528614574,-0.614183326,-0.136089555,-0.412149242,-1.551925527,-0.213319494,-1.240950692,-0.748900329,-1.179042787,0.590330197,NA,0.15645047,-2.772980973,-0.879019324,NA,-1.457829134,-1.468847561,-1.060361421,-0.267080446,-1.095653119,-0.269339025,-0.946308661,-0.15961538
A6NMX2,1.002008893,0.580002439,0.460521817,-0.873180111,-0.007523334,-1.143049731,0.384088721,0.614397354,-1.09038134,0.189618627,0.285904727,0.190626108,-0.232054207,-0.104054225,-0.59934053,0.686544357,0.47090778,-0.002675186,0.002670235,-0.306791494,-0.793667238,-0.47491055,0.2127668,0.075159253,-0.723288352,-0.538371723
A6NNZ2,-1.70780767,-0.324490469,-2.165947564,-1.657176985,NA,1.049856611,-1.495136154,-0.539591499,-1.487527038,-1.133219118,-1.64737139,-0.401629668,0.927766422,-1.129407316,-1.579243999,-1.588540119,NA,0.135776292,-1.79278333,-1.308880343,NA,-2.069950744,0.021191047,-0.522655503,-0.242035543,-2.122582428
A6NP61,1.335293529,1.059206951,2.126665289,0.777750385,2.01560756,-0.195965055,1.337624611,1.546074207,1.246972146,1.425128772,1.384342857,1.593698535,1.484789386,0.863562763,0.825070601,1.146083546,0.94232029,2.37545057,1.38803721,1.034248525,1.966774405,1.174732229,1.165188235,0.575852597,0.519180778,1.049152263
A8MVS5,-0.534371744,0.32955579,-0.636209195,-1.451512359,0.449009875,1.547188195,0.613854531,-0.758870991,8.07E-05,-0.402245904,0.396133674,-0.557538761,0.617057896,0.953655707,-0.159056783,1.191166637,-0.520379161,-0.15667029,1.080074934,-1.353583212,0.026955842,-1.28839844,0.703533052,0,-0.668843033,-0.446989905
C9JE40,0.467744416,0.780437348,1.058158096,0.491959976,0.503519132,-1.149165675,0.594116666,0.161815181,-0.1353532,-0.130222941,0.250992764,0.545103883,0.187969624,0.517332322,0.866394124,-0.138801753,0.342535319,0.017491944,-0.073614709,0.214455496,0.48167368,0.484714092,0.769443213,-0.187845032,0.279919336,-0.229484605
E9PAV3,-0.37727249,0.72382293,-0.302192574,-0.443339271,-0.962831102,-0.354858627,0.197213883,0.481439179,-0.263166401,1.0871821,0.5997727,0.263516952,-0.031251596,0.081868649,0.390775289,0.441181625,0.12741972,-1.92628802,1.282261959,0.494569126,-0.316332011,-0.853872666,-0.384498725,0.239282447,0.187027231,0.16505087
L0R6Q1,0.303305746,-0.359338565,-0.773191284,-0.088405151,0.243592466,0.63194439,-0.250817448,0.86434604,-0.562184282,-0.01046211,0.06758873,-0.593726116,0.406198153,0.346185673,0.019998786,-0.421026112,0.249986544,-1.405140016,0.724364149,-0.799149831,-0.697069103,0.47190391,0.236344599,0.675921684,-0.732823884,0.737234332
