,wAP0021_d0_1A,wAP0022_d0_4A,wAP0023_d4_8A,wAP0024_d4_49A,wAP0025_d8_9A,wAP0026_d8_71A,wAP0028_d4_52A,wAP0030_d8_53A,wAP0032_d8_74A,wAP0033_d0_75A,wAP0035_d0_80A,wAP0036_d4_76A,wAP0021_d8_54A,wAP0031_d4_55A,wAP0034_d0_56A,wAP0035_d4_57A,wAP0037_d0_63A,wAP0038_d8_58A,wAP0040_d8_59A,wAP0041_d4_64A,wAP0043_d4_60A,wAP0045_d8_65A,wAP0046_d4_62A,wAP0047_d0_66A,wAP0048_d4_67A,wAP0049_d0_68A,wAP0049_d8_61A,wAP0050_d4_69A,wAP0054_d8_70A
A0A1B0GUC4,-0.487521025,1.370238362,-0.393308408,0.698463016,-0.846344693,1.394549344,0.556281367,-0.050167688,-1.309403282,-0.020103093,0.15455472,-0.071103319,1.444728189,0.452080363,-0.209438235,0.457632829,0.021113411,-0.229089204,0.918507427,0.845294776,-0.265029131,-0.256841964,0.268222819,0.379382596,0.806718344,0.083310549,0.107234702,0.453442415,-0.106920294
A0A1W2PR48,-0.288906623,-0.270262977,0.218396496,-0.07439313,-0.796731332,-0.227189568,0.057695275,0.124031548,-0.259037325,0.095902685,0.342527695,-0.112921968,-0.421179365,-0.055532167,-0.134347682,-0.146615966,-0.394852496,-0.078940816,0.343051159,0.311654567,-0.198765475,-0.367658857,0.5777771,-0.433423389,0.014054413,0.051221206,-0.153547912,0.28852547,0.376107503
A0AVT1,-0.183089646,0.009162016,0.219490001,0.243852394,-0.650616921,0.307061717,0.105183744,-0.140670549,-0.013656059,0.502161874,0.402708112,0.330147606,-0.71551007,-0.393270577,0.383358654,-0.557862505,0.175060826,0.038464925,-0.11264483,-0.410222927,-0.674477518,0,0.252648242,0.041923411,0.459560079,0.020115188,0.155772855,-0.346303246,1.062062404
A0MZ66,0.278933442,-0.810376513,-0.530669572,0.002628545,-0.762640344,0.335529136,-0.177533979,-0.673461881,-0.213961031,-0.397110665,0.34135776,-0.370558499,0.241470329,0.28161477,-0.628098697,-0.130651796,0.162329619,-0.343381357,0.262542287,0.526249698,-0.195388619,0.254387711,0.1042935,-0.046248524,0.39635951,0.506051365,0.728457432,-0.154373128,0.459238646
A4D1E9,-0.875324691,-0.725341321,0.476799288,-0.111156525,-0.01619096,-0.944347302,-1.137961148,-0.041994297,0.404823012,-0.648387837,0.637373127,-0.133379653,-0.128150727,-1.317911247,-0.487960381,0.496618826,-0.040185038,1.205054153,-0.160592107,-0.86204243,0.347835473,-0.127049642,-0.056114099,0.520531692,1.300979357,-1.117816951,-0.097371349,0.742854715,0.705312605
A6ND01,1.007587256,-0.918283263,0.834234823,1.627735533,-0.381509703,-0.323675907,0.542290541,-0.661863767,-0.537074541,-0.440502896,1.188561371,0.865142994,1.068169568,-0.683917967,-1.024898729,-0.058327921,-0.135568676,0.228310948,0.736804794,-0.379612266,0.242439464,-1.095880635,-0.458519529,-0.267990371,0.189030736,0.991994079,-0.025942485,0.297478738,-0.759455612
A6NDG6,1.15597283,0.711159862,0.758852626,0.68181763,-3.106641726,-0.953597716,0.109448925,-0.836125981,-0.39703337,-0.588117468,0.886084086,0.245892825,-1.94035327,-0.025424543,-0.403685891,0.271521005,-0.224438126,-0.129213461,0.714057584,-0.621931272,0.443057662,NA,0.171505545,-0.171809339,1.127084946,0.832514156,NA,0.438934141,-0.155580438
A6NDX5,-0.01250369,-0.373159489,-0.292575453,-0.444790748,-0.644668738,0.13495635,-0.397398092,0.329966072,-0.166024016,-0.769160282,0.178557512,-0.199103348,-0.54974841,0.064236131,-0.1649809,0.051869833,0.053258764,0.228417744,0.087693091,-0.070983302,-0.113745809,0.87020725,0.39092129,0,-0.260890951,0.385584591,0.279174316,0.391160448,0.353462068
A6NGQ2,-0.135056299,0.310845944,-0.333751688,-0.723034851,-0.395782663,0.423753243,-0.000703594,0.114265925,0.539921467,-0.13240672,0.392342267,-0.250160161,-0.037234307,-0.059545879,-0.007013723,-0.115317996,-0.212713008,0.102956272,-0.266060315,-0.1590945,0.176896899,-0.388751459,-0.650187069,0.132052921,-0.017694549,0.252102583,-0.845765597,0.304591054,-0.789135369
A6NKN8,-1.662425271,-0.720058328,-0.975694807,-0.528614574,-0.614183326,-0.136089555,-0.412149242,-1.551925527,-0.213319494,-1.240950692,-0.748900329,-1.179042787,-0.198554039,0,-0.15018827,0.124076479,-0.155340461,0.784928014,1.120991688,-0.270806761,0.646912178,0.189920901,0.382241092,0.335333674,0.404673533,0.327907995,1.523834775,1.209246653,1.103444359
