,wAP0022_d4_2A,wAP0026_d0_10A,wAP0029_d8_50A,wAP0030_d0_51A,wAP0033_d8_20A,wAP0037_d4_31A,wAP0041_d0_41A,wAP0042_d0_87A,wAP0042_d4_42A,wAP0043_d8_40A,wAP0045_d4_88A,wAP0046_d0_46A,wAP0047_d4_47A,wAP0050_d0_93A,wAP0026_d4_97A,wAP0051_d0_98A,wAP0051_d8_106A,wAP0052_d4_103A,wAP0052_d8_96A,wAP0054_d0_100A,wAP0055_d8_101A,wAP0057_d0_102A,wAP0058_d0_109A,wAP0058_d8_108A,wAP0059_d4_107A
MYOCOS,0.11480981,0.092006632,-0.231202977,0.594886877,-1.309966686,NA,0.378044923,-0.458686604,0.572136419,-0.197101411,0.825211872,-0.611497107,-0.17832574,0.482365389,0.68851812,1.312270423,0.190493297,-0.051180111,-1.037220159,-0.338738843,-2.392024595,0.0018528,-0.117146298,-0.025914016,-0.095789427
TLE7,-0.175461299,0.311390429,0.032499668,0.373659194,0.245852969,NA,0.00073641,-0.106559662,0.182445226,-0.310376311,0.557765053,-0.206325818,0.357081085,-0.104131455,-0.272611378,0.263451683,-0.002760022,-0.645759146,0.261299139,-0.068240456,0.010705375,-0.123208324,0.159811718,-0.279099249,0.332029185
UBA6,-0.74918339,0.34500145,-0.450940078,-0.186810846,0.020774537,-1.965179772,-0.02726937,-0.024723581,0.220714248,0.189780332,-0.071044016,-0.207549161,0.374568808,-0.361787961,-0.177789216,-0.281579239,-0.130195902,-0.122622394,-0.168188559,-0.286849537,-0.192861714,-0.364922775,0.224053012,-0.006826079,-0.398567022
ESYT2,NA,-3.931962304,-5.081333333,0.197647001,NA,-1.248496713,0.266145751,0.485464567,1.041417163,0.637648519,0.677624707,0.56499696,1.017674997,1.267967056,-3.601332833,0.717079999,0.44700948,0.196730845,0.62024756,-0.561552552,NA,-0.846840369,0.488427685,-0.373344576,0.900146993
SHTN1,-0.856549056,-0.219027468,0.11272554,0.078854796,-0.261364642,NA,-0.105408338,-0.457198119,0.176480536,-0.553754039,-0.297458197,0.141276442,-0.044216409,0.566030819,0.173776561,0.59096712,0.383245082,-0.400296032,0.238544877,-0.718680022,0.58187804,0.631148633,-0.289328497,0.680049109,0.722061654
GTPBP10,0.644951751,0.662112636,0.894397662,0.201329508,0.127878672,-0.16541029,-0.51990976,1.307805672,-0.216565514,0.94417843,1.148826691,-0.184350068,0.914075618,0.188464099,-0.918536801,-0.009523474,-0.095695487,0.696550135,0.91932053,0.447921277,-1.222585835,0.07686137,-1.858123639,0.059425337,0.17208165
IZUMO1R,0.453670541,-0.344131971,1.009129267,-0.163934313,-0.107779223,1.33913787,0.021027227,-0.704595417,1.188902095,0.8062663,0.104570703,1.356178359,-0.174779697,-0.514447797,-0.229694903,0.460185833,0.462799345,0.134673078,0.742856173,-0.545719251,0.725352085,-0.876270414,-0.021338236,-0.175344421,-0.489120959
PGP,-0.304830922,1.093722111,NA,-0.576455195,-0.302527682,NA,0.069828592,0.53390589,0.762660842,-0.451128555,-0.651690636,0.776918026,-0.124043384,0.662204343,0.229867435,-2.508358279,-2.380309783,-0.043510037,-0.095722547,-1.00084029,0.788811957,-0.228360901,0.138821497,-1.201099986,0.232540412
ZNF840P,-0.92727726,-0.366832521,-0.266456938,-0.158891901,-0.291017243,0.280048834,-0.077652719,-0.111043125,-0.147179764,-0.209736012,0.030096566,0.130387857,-0.070369035,0.138665852,0.247204821,-0.013931796,0.534241883,0.211474858,0.244548731,-0.688498265,-0.578926246,-0.105257783,0.068595963,0.122509433,0.194576047
OOEP,-0.469984194,0.069328428,-0.125275558,-0.225455331,-0.014501795,0.433922212,0.071794086,0.203455295,0.575380036,-0.02012948,0.084816297,-0.101292677,0.357063746,0.559463347,0.118533528,0.137469098,0.263637984,0.110586738,-0.20490913,-0.428356415,0.036842049,0.153231618,-0.008128791,0.285415667,0.128362691
PCP4L1,0.590330197,NA,0.15645047,-2.772980973,-0.879019324,NA,-1.457829134,-1.468847561,-1.060361421,-0.267080446,-1.095653119,-0.269339025,-0.946308661,-0.15961538,0.26562412,1.093533485,0.97101555,0.981543534,1.050110643,0.01866515,0.23334519,-0.809493903,-0.852336547,0.775699325,0.136872002
EIF4E1B,-0.232054207,-0.104054225,-0.59934053,0.686544357,0.47090778,-0.002675186,0.002670235,-0.306791494,-0.793667238,-0.47491055,0.2127668,0.075159253,-0.723288352,-0.538371723,-0.255914003,-0.84678938,-1.139944436,-0.316699919,0.379902136,-0.307608174,-0.370490087,-0.295646913,0.232476087,-0.592294799,-0.108327941
TUBB8B,0.927766422,-1.129407316,-1.579243999,-1.588540119,NA,0.135776292,-1.79278333,-1.308880343,NA,-2.069950744,0.021191047,-0.522655503,-0.242035543,-2.122582428,1.91528418,0.414017751,-0.35587371,1.459908185,-0.08141869,0.735700403,0.527181511,1.911549372,0.760034365,-0.094948814,0.884766584
HIDE1,0.617057896,0.953655707,-0.159056783,1.191166637,-0.520379161,-0.15667029,1.080074934,-1.353583212,0.026955842,-1.28839844,0.703533052,0,-0.668843033,-0.446989905,-0.287554245,0.05533343,0.563397917,NA,-0.208360623,-0.029662133,0.054083451,0.050230289,-0.458983783,-0.453149029,0.673407731
PATL2,0.187969624,0.517332322,0.866394124,-0.138801753,0.342535319,0.017491944,-0.073614709,0.214455496,0.48167368,0.484714092,0.769443213,-0.187845032,0.279919336,-0.229484605,0.133528776,-0.292074796,-0.376912216,-0.064798699,0.12109128,-0.018940196,-0.752900865,-1.060853675,-0.836653667,-1.133324842,-0.452661429
NACA,-0.031251596,0.081868649,0.390775289,0.441181625,0.12741972,-1.92628802,1.282261959,0.494569126,-0.316332011,-0.853872666,-0.384498725,0.239282447,0.187027231,0.16505087,-0.322841922,-0.086125029,-0.315232753,-0.45966205,-0.296055148,-0.329473746,0.072296797,0.274549652,0.595564532,0.625051288,-0.287700068
SLC35A4,0.406198153,0.346185673,0.019998786,-0.421026112,0.249986544,-1.405140016,0.724364149,-0.799149831,-0.697069103,0.47190391,0.236344599,0.675921684,-0.732823884,0.737234332,0.541600005,0.529461525,0.830722753,-0.361327311,-0.108881688,0.66493773,1.065660026,-0.625958165,-1.16734932,0.061327598,-0.252638604
ACOT7,-0.351461879,0.492398198,0.226042339,-0.389380216,-0.174842739,-0.988316612,0.168807721,0.224946143,-0.149729834,0.072519259,0.000732025,0.091401002,0.113053911,-0.453588021,0.83570572,-0.050087325,0.179388185,0.580573734,0.344878898,0.530170823,-0.672573973,-0.119829879,0.269025112,0.351151509,-0.148618844
AIP,-0.51851912,-0.71095106,-0.770081116,0.313626723,0.351372829,NA,-0.078934441,-0.052545313,0.176046212,0.323068497,-0.641021192,-0.67960987,0.540459748,-1.248587053,0.758642808,0.69070984,0.754492865,-0.015953335,0.588983643,-0.086790216,-0.160656801,-0.06090024,-0.120396652,-0.11199455,1.022344914
STXBP3,NA,0.831977399,0.421877102,0.031732095,0.501518044,-0.001153366,0.25974378,0.415781929,0.431506071,0.762485932,0.460448065,0.640583615,0.220582022,-1.175164541,-0.116646228,0.519590343,0.419251458,-0.181490111,-2.059957153,1.053072917,0.210872692,-0.319551984,0.469314261,NA,-0.324818112
AP3B1,2.075576098,-1.605106087,0.129722749,0.000773534,0.38261126,2.47657529,-0.972296064,0.342415801,0.349911909,-0.216178907,0.208397049,0.636608184,-0.611666907,-2.881711759,0.029608069,1.27336484,0.754548096,0.858486497,-0.518588452,NA,-0.039434478,-0.290647207,-0.359061095,0.888184688,-0.076983459
LGALS8,-1.283912313,-0.456306824,0.192998673,0.197458245,-0.125329206,NA,0.216982714,0.323254508,-0.076121655,-0.09433319,0.421958399,-0.829332526,0.349103671,0.188448685,0.314031782,-0.437811344,-0.774427701,0.884694293,0.708811766,0.019292705,-0.038505666,0.591880157,0.132433051,0.187402218,-0.143641426
NDUFS8,0.806291986,-2.596880161,-0.852542071,-1.171213846,0.001504705,-0.127653368,0.224618486,0.778945638,0.503191689,0,0.380732708,0.636716878,0.957584019,1.179185666,-2.870149011,0.219936774,-0.108331869,0.955805253,0.72518374,0.310965921,0.067755212,-1.847308587,0.417147464,-0.937933806,-0.530897785
PSMD11,-0.357105123,0.021068045,0.243840996,0.023892131,0.125162125,-0.079233082,-0.311277542,0.043124115,0.133711726,0.052898265,0.058166126,-0.324175746,-0.153973595,0.213976295,-0.122970254,-0.06498034,0.326123236,-0.333972845,-0.081497087,-0.222122898,0.271472146,-0.671033058,0.234798704,0.157663289,-0.32335917
PSMD12,0.2206955,0.12683722,0.567680546,-0.779759736,-0.104505343,0.203505301,0.445639525,-1.148554892,-0.157826756,0.237299962,-0.22899815,0.129112613,-0.225900228,-0.989299163,-0.608595593,0.553462748,-0.014797751,NA,0.371628865,-0.09001197,0.206574293,-0.071285111,1.174097172,-0.133193755,0.64421525
ATOX1,0.586486331,-0.871979975,-1.039077765,-0.695516307,-0.419341023,NA,-0.036076965,0.825236326,0.121222908,NA,-1.032716852,0.528225806,0.506075163,-0.051213274,0.035196767,0.316428206,0.699786389,-0.740828028,0.655959436,0.484044143,-0.661229973,-0.180903196,0.592905089,0.194237195,0.099609046
DFFA,-1.300685138,-2.23334029,0.382378649,0.280849702,-2.006914403,NA,0.024933544,0.467661244,0.687822646,-0.110735247,0.882429681,-0.161263187,0.12489529,-0.82834965,-2.46561563,-0.365622801,0.970796772,-0.024532428,-0.051888316,1.014362671,-0.953361216,-0.130347206,-0.661605959,0.145585269,1.149981668
PDHX,1.444064904,0.161321921,-0.423979058,0.021451674,-0.007854207,-1.742720543,-0.314991012,-0.537991558,-0.446575735,0.334758162,-0.373886626,-0.398848238,0.598407115,0.397108527,-0.087053799,-0.376205368,0.279533778,0.306427289,0.056904638,0.138009005,-0.090421134,-0.110287612,0.407414979,1.100437242,0.770805299
