,wAP0021_d8_54A,wAP0031_d4_55A,wAP0034_d0_56A,wAP0035_d4_57A,wAP0037_d0_63A,wAP0038_d8_58A,wAP0040_d8_59A,wAP0041_d4_64A,wAP0043_d4_60A,wAP0045_d8_65A,wAP0046_d4_62A,wAP0047_d0_66A,wAP0048_d4_67A,wAP0049_d0_68A,wAP0049_d8_61A,wAP0050_d4_69A,wAP0054_d8_70A,wAP0026_d4_97A,wAP0051_d0_98A,wAP0051_d8_106A,wAP0052_d4_103A,wAP0052_d8_96A,wAP0054_d0_100A,wAP0055_d8_101A,wAP0057_d0_102A,wAP0058_d0_109A,wAP0058_d8_108A,wAP0059_d4_107A
MYOCOS,1.444728189,0.452080363,-0.209438235,0.457632829,0.021113411,-0.229089204,0.918507427,0.845294776,-0.265029131,-0.256841964,0.268222819,0.379382596,0.806718344,0.083310549,0.107234702,0.453442415,-0.106920294,0.68851812,1.312270423,0.190493297,-0.051180111,-1.037220159,-0.338738843,-2.392024595,0.0018528,-0.117146298,-0.025914016,-0.095789427
TLE7,-0.421179365,-0.055532167,-0.134347682,-0.146615966,-0.394852496,-0.078940816,0.343051159,0.311654567,-0.198765475,-0.367658857,0.5777771,-0.433423389,0.014054413,0.051221206,-0.153547912,0.28852547,0.376107503,-0.272611378,0.263451683,-0.002760022,-0.645759146,0.261299139,-0.068240456,0.010705375,-0.123208324,0.159811718,-0.279099249,0.332029185
OOSP4A,-0.785813898,0.894795238,0.558802023,-0.231364563,-0.344895224,-0.308219793,0.33193774,0.374014222,-0.366057462,0.232786639,0.103042649,-0.919558717,0.69678043,0.804618056,0.24700121,-0.353376204,-0.271540354,-0.251635942,-0.349465444,0.029535497,0.468557654,0.328376217,-0.380115977,-0.546011289,-0.738714216,0.463987381,-0.784768505,0.471135917
UBA6,-0.71551007,-0.393270577,0.383358654,-0.557862505,0.175060826,0.038464925,-0.11264483,-0.410222927,-0.674477518,0,0.252648242,0.041923411,0.459560079,0.020115188,0.155772855,-0.346303246,1.062062404,-0.177789216,-0.281579239,-0.130195902,-0.122622394,-0.168188559,-0.286849537,-0.192861714,-0.364922775,0.224053012,-0.006826079,-0.398567022
ESYT2,NA,-1.395277981,0.735864049,-1.349679167,-2.010512349,-0.086393967,0.063487501,0.272338176,1.095340539,0.454148785,0.061863177,0.495806989,0.262550774,0.386226282,NA,0.161249672,-0.320718049,-3.601332833,0.717079999,0.44700948,0.196730845,0.62024756,-0.561552552,NA,-0.846840369,0.488427685,-0.373344576,0.900146993
SHTN1,0.241470329,0.28161477,-0.628098697,-0.130651796,0.162329619,-0.343381357,0.262542287,0.526249698,-0.195388619,0.254387711,0.1042935,-0.046248524,0.39635951,0.506051365,0.728457432,-0.154373128,0.459238646,0.173776561,0.59096712,0.383245082,-0.400296032,0.238544877,-0.718680022,0.58187804,0.631148633,-0.289328497,0.680049109,0.722061654
GTPBP10,-0.128150727,-1.317911247,-0.487960381,0.496618826,-0.040185038,1.205054153,-0.160592107,-0.86204243,0.347835473,-0.127049642,-0.056114099,0.520531692,1.300979357,-1.117816951,-0.097371349,0.742854715,0.705312605,-0.918536801,-0.009523474,-0.095695487,0.696550135,0.91932053,0.447921277,-1.222585835,0.07686137,-1.858123639,0.059425337,0.17208165
DPPA5,1.420454588,0.688727019,0.037471758,-0.297895928,0.075644344,-0.44560852,0.770875228,0.338748349,0.730724544,-3.56732154,-0.35285213,-0.873403264,-0.003358178,0.703871077,1.125184132,0.211279355,-0.273002825,0.984566364,-0.420137642,0.255676268,-1.294274436,0.790001296,0.398368437,0.160384371,-0.329575481,-0.185248325,-0.348672213,-0.130326942
IZUMO1R,1.068169568,-0.683917967,-1.024898729,-0.058327921,-0.135568676,0.228310948,0.736804794,-0.379612266,0.242439464,-1.095880635,-0.458519529,-0.267990371,0.189030736,0.991994079,-0.025942485,0.297478738,-0.759455612,-0.229694903,0.460185833,0.462799345,0.134673078,0.742856173,-0.545719251,0.725352085,-0.876270414,-0.021338236,-0.175344421,-0.489120959
PGP,-1.94035327,-0.025424543,-0.403685891,0.271521005,-0.224438126,-0.129213461,0.714057584,-0.621931272,0.443057662,NA,0.171505545,-0.171809339,1.127084946,0.832514156,NA,0.438934141,-0.155580438,0.229867435,-2.508358279,-2.380309783,-0.043510037,-0.095722547,-1.00084029,0.788811957,-0.228360901,0.138821497,-1.201099986,0.232540412
ZNF840P,-0.54974841,0.064236131,-0.1649809,0.051869833,0.053258764,0.228417744,0.087693091,-0.070983302,-0.113745809,0.87020725,0.39092129,0,-0.260890951,0.385584591,0.279174316,0.391160448,0.353462068,0.247204821,-0.013931796,0.534241883,0.211474858,0.244548731,-0.688498265,-0.578926246,-0.105257783,0.068595963,0.122509433,0.194576047
OOEP,-0.037234307,-0.059545879,-0.007013723,-0.115317996,-0.212713008,0.102956272,-0.266060315,-0.1590945,0.176896899,-0.388751459,-0.650187069,0.132052921,-0.017694549,0.252102583,-0.845765597,0.304591054,-0.789135369,0.118533528,0.137469098,0.263637984,0.110586738,-0.20490913,-0.428356415,0.036842049,0.153231618,-0.008128791,0.285415667,0.128362691
PCP4L1,-0.198554039,0,-0.15018827,0.124076479,-0.155340461,0.784928014,1.120991688,-0.270806761,0.646912178,0.189920901,0.382241092,0.335333674,0.404673533,0.327907995,1.523834775,1.209246653,1.103444359,0.26562412,1.093533485,0.97101555,0.981543534,1.050110643,0.01866515,0.23334519,-0.809493903,-0.852336547,0.775699325,0.136872002
EIF4E1B,0.054878675,0.00852054,0.053470434,-0.844248005,0.126259034,0.068227525,-0.653175335,0.06226424,-1.103384551,0.38404962,-0.41341659,-0.260817677,-0.005873315,0.636900187,0.29191188,-1.402897798,-0.526521242,-0.255914003,-0.84678938,-1.139944436,-0.316699919,0.379902136,-0.307608174,-0.370490087,-0.295646913,0.232476087,-0.592294799,-0.108327941
TUBB8B,0.43893797,0.645558588,1.001655125,0.324843589,0.362397574,0.975059512,0.513844274,-0.181330139,0.441633814,-2.23527274,-0.546645007,-0.184148838,-0.554996768,0.85277455,-0.628601526,-1.265011026,-0.499364981,1.91528418,0.414017751,-0.35587371,1.459908185,-0.08141869,0.735700403,0.527181511,1.911549372,0.760034365,-0.094948814,0.884766584
