Log2.levels.,A,TRiC Subunits
0.025548406,GV Young,TCPA
0.104008012,GV Young,TCPZ
-0.224663858,GV Young,TCPE
-0.317182808,GV Young,TCPG
-0.213989332,GV Young,TCPQ
0.058514254,GV Young,TCPD
-0.156667586,GV Young,TCPB
-0.020573872,GV Young,TCPH
0.196324064,GV Young,TCPA
0.050869406,GV Young,TCPZ
0.120045802,GV Young,TCPE
-0.164762549,GV Young,TCPG
0.214368672,GV Young,TCPQ
-0.011937346,GV Young,TCPD
0.471145554,GV Young,TCPB
0.484334117,GV Young,TCPH
0.091665553,GV Young,TCPA
0.086547142,GV Young,TCPZ
0,GV Young,TCPE
-0.135230903,GV Young,TCPG
-0.090840436,GV Young,TCPQ
0.043703355,GV Young,TCPD
0.21868859,GV Young,TCPB
0.312277603,GV Young,TCPH
-0.064818859,GV Young,TCPA
-0.007778876,GV Young,TCPZ
-0.080873721,GV Young,TCPE
-0.215300296,GV Young,TCPG
-0.125260077,GV Young,TCPQ
-0.131886804,GV Young,TCPD
0.063997751,GV Young,TCPB
0.060009418,GV Young,TCPH
-0.20536852,GV Young,TCPA
-0.026945963,GV Young,TCPZ
-0.060401231,GV Young,TCPE
-0.370352287,GV Young,TCPG
-0.116021401,GV Young,TCPQ
-0.086987152,GV Young,TCPD
-0.124614031,GV Young,TCPB
0.035999161,GV Young,TCPH
0.148869841,GV Young,TCPA
0.024103499,GV Young,TCPZ
0.347680017,GV Young,TCPE
-0.057127261,GV Young,TCPG
0.354350696,GV Young,TCPQ
0.106044315,GV Young,TCPD
0.13509333,GV Young,TCPB
0.212414743,GV Young,TCPH
0.216302299,GV Young,TCPA
0.100185211,GV Young,TCPZ
0.4080706,GV Young,TCPE
0.306722257,GV Young,TCPG
0.280744108,GV Young,TCPQ
0.530379481,GV Young,TCPD
0.402221149,GV Young,TCPB
0.332890187,GV Young,TCPH
-0.112107438,GV Young,TCPA
-0.486937788,GV Young,TCPZ
-0.276652719,GV Young,TCPE
-0.096858888,GV Young,TCPG
-0.159043599,GV Young,TCPQ
-0.140310988,GV Young,TCPD
-0.010092576,GV Young,TCPB
-0.206477809,GV Young,TCPH
-0.135129739,GV Young,TCPA
0.036747905,GV Young,TCPZ
0.04759867,GV Young,TCPE
0.141349424,GV Young,TCPG
0.261758157,GV Young,TCPQ
0.223030257,GV Young,TCPD
0.325221143,GV Young,TCPB
0.225061047,GV Young,TCPH
0.028884236,GV Young,TCPA
0.231658752,GV Young,TCPZ
0.32507548,GV Young,TCPE
0.195035132,GV Young,TCPG
0.371751561,GV Young,TCPQ
0.3207241,GV Young,TCPD
0.409435948,GV Young,TCPB
0.331638456,GV Young,TCPH
0.101164604,GV Young,TCPA
-0.087337301,GV Young,TCPZ
0.039581077,GV Young,TCPE
-0.01227034,GV Young,TCPG
-0.224135333,GV Young,TCPQ
-0.063418423,GV Young,TCPD
-0.097390747,GV Young,TCPB
0.109142933,GV Young,TCPH
0.171912235,GV Young,TCPA
0.044945611,GV Young,TCPZ
0.367242872,GV Young,TCPE
0.0174721,GV Young,TCPG
0.179888266,GV Young,TCPQ
0.210753047,GV Young,TCPD
0.353070167,GV Young,TCPB
0.100499482,GV Young,TCPH
-0.2956994,GV AMA,TCPA
-0.663071888,GV AMA,TCPZ
-0.028400712,GV AMA,TCPE
-0.268762897,GV AMA,TCPG
-0.278926841,GV AMA,TCPQ
-0.505110039,GV AMA,TCPD
-0.075269867,GV AMA,TCPB
-0.068503497,GV AMA,TCPH
0.044960264,GV AMA,TCPA
0.058467244,GV AMA,TCPZ
0.060786949,GV AMA,TCPE
0,GV AMA,TCPG
0.205760669,GV AMA,TCPQ
0.288774905,GV AMA,TCPD
0.255542164,GV AMA,TCPB
0.23579975,GV AMA,TCPH
0.129251898,GV AMA,TCPA
-0.060086955,GV AMA,TCPZ
0.133607212,GV AMA,TCPE
0.060448297,GV AMA,TCPG
-0.12337814,GV AMA,TCPQ
0.299119664,GV AMA,TCPD
0.647893408,GV AMA,TCPB
0.370746805,GV AMA,TCPH
-0.110396292,GV AMA,TCPA
0.124592406,GV AMA,TCPZ
0.133211872,GV AMA,TCPE
0.137920899,GV AMA,TCPG
0.101386798,GV AMA,TCPQ
0.133125466,GV AMA,TCPD
-0.022277162,GV AMA,TCPB
0.164461491,GV AMA,TCPH
0,GV AMA,TCPA
0.145476365,GV AMA,TCPZ
0.326604135,GV AMA,TCPE
0.213045702,GV AMA,TCPG
0.153927583,GV AMA,TCPQ
0.414778954,GV AMA,TCPD
0.279175752,GV AMA,TCPB
0.312682223,GV AMA,TCPH
-3.38265979,GV AMA,TCPA
-1.901397429,GV AMA,TCPZ
-1.661450379,GV AMA,TCPE
-2.542767685,GV AMA,TCPG
-0.919050319,GV AMA,TCPQ
-1.42657944,GV AMA,TCPD
-3.267847644,GV AMA,TCPB
-4.135512504,GV AMA,TCPH
-0.297812004,GV AMA,TCPA
0.001120496,GV AMA,TCPZ
0.087989617,GV AMA,TCPE
-0.193871424,GV AMA,TCPG
-0.279006254,GV AMA,TCPQ
0.24046548,GV AMA,TCPD
-0.161109598,GV AMA,TCPB
-0.057792924,GV AMA,TCPH
-0.154129353,GV AMA,TCPA
-0.650957723,GV AMA,TCPZ
-0.150682971,GV AMA,TCPE
-0.051723328,GV AMA,TCPG
-0.232043888,GV AMA,TCPQ
-0.291906282,GV AMA,TCPD
-0.071599994,GV AMA,TCPB
-0.256140848,GV AMA,TCPH
-0.086446974,GV AMA,TCPA
-0.022391387,GV AMA,TCPZ
0.001487444,GV AMA,TCPE
-0.016756297,GV AMA,TCPG
0.147157667,GV AMA,TCPQ
0.198094992,GV AMA,TCPD
-0.126778816,GV AMA,TCPB
-0.256333365,GV AMA,TCPH
-0.213005479,GV AMA,TCPA
-0.034241468,GV AMA,TCPZ
-0.298215016,GV AMA,TCPE
0.115647522,GV AMA,TCPG
0.084677109,GV AMA,TCPQ
-0.193853203,GV AMA,TCPD
0.198228543,GV AMA,TCPB
-0.067373565,GV AMA,TCPH
0.067651552,GV AMA,TCPA
-0.098413593,GV AMA,TCPZ
-0.177445862,GV AMA,TCPE
0.024014123,GV AMA,TCPG
-0.151900496,GV AMA,TCPQ
-0.305059172,GV AMA,TCPD
-0.083862716,GV AMA,TCPB
-0.046150594,GV AMA,TCPH
-0.072352912,GV AMA,TCPA
-0.200059966,GV AMA,TCPZ
-0.077953247,GV AMA,TCPE
0.110601746,GV AMA,TCPG
-0.319251461,GV AMA,TCPQ
-0.102219001,GV AMA,TCPD
-0.07919881,GV AMA,TCPB
-0.140547583,GV AMA,TCPH
0.02822554,GV AMA,TCPA
0.165744817,GV AMA,TCPZ
-0.22305691,GV AMA,TCPE
-0.202005789,GV AMA,TCPG
-0.186619963,GV AMA,TCPQ
-0.114410411,GV AMA,TCPD
-0.116227275,GV AMA,TCPB
-0.339767361,GV AMA,TCPH
0.274093445,GV AMA,TCPA
0.126790313,GV AMA,TCPZ
0.091460651,GV AMA,TCPE
-0.239687048,GV AMA,TCPG
-0.208111514,GV AMA,TCPQ
-0.107673931,GV AMA,TCPD
0.071716567,GV AMA,TCPB
-0.420977274,GV AMA,TCPH
