Log2.levels.,A,TRiC Subunits
-0.393569138,MII Young,TCPA
0.06965822,MII Young,TCPZ
-0.014676309,MII Young,TCPE
-0.268963463,MII Young,TCPG
-0.03345745,MII Young,TCPQ
-0.013459711,MII Young,TCPD
0.117253982,MII Young,TCPB
-0.114676603,MII Young,TCPH
-0.139602607,MII Young,TCPA
-0.20553579,MII Young,TCPZ
-0.004416192,MII Young,TCPE
0.008015489,MII Young,TCPG
0.056803176,MII Young,TCPQ
-0.017172029,MII Young,TCPD
0.177086106,MII Young,TCPB
-0.299195642,MII Young,TCPH
0.29678136,MII Young,TCPA
0.199623737,MII Young,TCPZ
0.318172399,MII Young,TCPE
0.442457009,MII Young,TCPG
0.178988737,MII Young,TCPQ
0.235691875,MII Young,TCPD
0.283575192,MII Young,TCPB
0.367049316,MII Young,TCPH
0.104821114,MII Young,TCPA
0.017396801,MII Young,TCPZ
0.031146726,MII Young,TCPE
0.225010531,MII Young,TCPG
0.192793818,MII Young,TCPQ
0.133440296,MII Young,TCPD
0.203980136,MII Young,TCPB
0.258158228,MII Young,TCPH
-0.112148938,MII Young,TCPA
-0.231151378,MII Young,TCPZ
-0.077606071,MII Young,TCPE
-0.128175909,MII Young,TCPG
-0.064952364,MII Young,TCPQ
0.002216256,MII Young,TCPD
0.275965943,MII Young,TCPB
0.116423493,MII Young,TCPH
0.013409092,MII Young,TCPA
-0.139537092,MII Young,TCPZ
0.257627865,MII Young,TCPE
0.10422373,MII Young,TCPG
0.417081729,MII Young,TCPQ
0.038665509,MII Young,TCPD
0,MII Young,TCPB
0.012030593,MII Young,TCPH
-0.03879877,MII Young,TCPA
-0.115663802,MII Young,TCPZ
0.101888488,MII Young,TCPE
-0.138589157,MII Young,TCPG
0.205387759,MII Young,TCPQ
0.08891238,MII Young,TCPD
0.170508859,MII Young,TCPB
0.0136171,MII Young,TCPH
-0.24296927,MII Young,TCPA
0.129559718,MII Young,TCPZ
0.15670233,MII Young,TCPE
-0.000951275,MII Young,TCPG
0.020395275,MII Young,TCPQ
0.333413139,MII Young,TCPD
0.341339241,MII Young,TCPB
-0.125377232,MII Young,TCPH
0.035854937,MII Young,TCPA
0.300988423,MII Young,TCPZ
0.078728564,MII Young,TCPE
0.129471673,MII Young,TCPG
0.377532845,MII Young,TCPQ
0.094510662,MII Young,TCPD
0.200951902,MII Young,TCPB
-0.006251117,MII Young,TCPH
-0.299046696,MII Young,TCPA
0.308287951,MII Young,TCPZ
-0.165902818,MII Young,TCPE
0.047164514,MII Young,TCPG
0.264065574,MII Young,TCPQ
-0.023557949,MII Young,TCPD
-0.216832494,MII Young,TCPB
-0.219044192,MII Young,TCPH
0.244867716,MII Young,TCPA
-0.296805769,MII Young,TCPZ
0.077942015,MII Young,TCPE
0.156684944,MII Young,TCPG
0.083849284,MII Young,TCPQ
0.160921342,MII Young,TCPD
0.439134043,MII Young,TCPB
-0.193036148,MII Young,TCPH
0.160079974,MII Young,TCPA
0.132592342,MII Young,TCPZ
-0.309132248,MII Young,TCPE
-0.047911922,MII Young,TCPG
-0.205664562,MII Young,TCPQ
-0.061574071,MII Young,TCPD
-0.212815502,MII Young,TCPB
0.064928577,MII Young,TCPH
-0.127245904,MII Young,TCPA
-0.317109366,MII Young,TCPZ
-0.095333967,MII Young,TCPE
0.01567424,MII Young,TCPG
0.047077021,MII Young,TCPQ
0.049336614,MII Young,TCPD
-0.004935068,MII Young,TCPB
-0.124879998,MII Young,TCPH
0.48602739,MII Young,TCPA
0.18536189,MII Young,TCPZ
0.254318313,MII Young,TCPE
0.247507615,MII Young,TCPG
0.157581409,MII Young,TCPQ
0.201652745,MII Young,TCPD
0.023066918,MII Young,TCPB
0.165329439,MII Young,TCPH
-0.189097508,MII Young,TCPA
