leading.protein,wAP0022_d0_4A,wAP0035_d0_80A,wAP0036_d4_76A,wAP0026_d8_71A,wAP0028_d4_52A,wAP0024_d4_49A,wAP0033_d0_75A,wAP0025_d8_9A,wAP0021_d0_1A,wAP0030_d8_53A,wAP0023_d4_8A,wAP0032_d8_74A,wAP0026_d0_10A,wAP0033_d8_20A,wAP0047_d4_47A,wAP0041_d0_41A,wAP0022_d4_2A,wAP0029_d8_50A,wAP0046_d0_46A,wAP0045_d4_88A,wAP0050_d0_93A,wAP0030_d0_51A,wAP0037_d4_31A,wAP0043_d8_40A,wAP0042_d0_87A,wAP0042_d4_42A,wAP0048_d4_67A,wAP0038_d8_58A,wAP0046_d4_62A,wAP0054_d8_70A,wAP0040_d8_59A,wAP0049_d0_68A,wAP0043_d4_60A,wAP0049_d8_61A,wAP0050_d4_69A,wAP0047_d0_66A,wAP0041_d4_64A,wAP0031_d4_55A,wAP0035_d4_57A,wAP0021_d8_54A,wAP0037_d0_63A,wAP0034_d0_56A,wAP0045_d8_65A,wAP0051_d0_98A,wAP0051_d8_106A,wAP0052_d4_103A,wAP0052_d8_96A,wAP0054_d0_100A,wAP0055_d8_101A,wAP0057_d0_102A,wAP0058_d0_109A,wAP0058_d8_108A,wAP0026_d4_97A,wAP0059_d4_107A
A6NKN8,-0.720058328,-0.748900329,-1.179042787,-0.136089555,-0.412149242,-0.528614574,-1.240950692,-0.614183326,-1.662425271,-1.551925527,-0.975694807,-0.213319494,,-0.879019324,-0.946308661,-1.457829134,0.590330197,0.15645047,-0.269339025,-1.095653119,-0.15961538,-2.772980973,,-0.267080446,-1.468847561,-1.060361421,0.404673533,0.784928014,0.382241092,1.103444359,1.120991688,0.327907995,0.646912178,1.523834775,1.209246653,0.335333674,-0.270806761,0,0.124076479,-0.198554039,-0.155340461,-0.15018827,0.189920901,1.093533485,0.97101555,0.981543534,1.050110643,0.01866515,0.23334519,-0.809493903,-0.852336547,0.775699325,0.26562412,0.136872002
A6NNZ2,-0.324490469,-1.64737139,-0.401629668,1.049856611,-1.495136154,-1.657176985,-1.133219118,,-1.70780767,-0.539591499,-2.165947564,-1.487527038,-1.129407316,,-0.242035543,-1.79278333,0.927766422,-1.579243999,-0.522655503,0.021191047,-2.122582428,-1.588540119,0.135776292,-2.069950744,-1.308880343,,-0.554996768,0.975059512,-0.546645007,-0.499364981,0.513844274,0.85277455,0.441633814,-0.628601526,-1.265011026,-0.184148838,-0.181330139,0.645558588,0.324843589,0.43893797,0.362397574,1.001655125,-2.23527274,0.414017751,-0.35587371,1.459908185,-0.08141869,0.735700403,0.527181511,1.911549372,0.760034365,-0.094948814,1.91528418,0.884766584
C9JE40,0.780437348,0.250992764,0.545103883,-1.149165675,0.594116666,0.491959976,-0.130222941,0.503519132,0.467744416,0.161815181,1.058158096,-0.1353532,0.517332322,0.342535319,0.279919336,-0.073614709,0.187969624,0.866394124,-0.187845032,0.769443213,-0.229484605,-0.138801753,0.017491944,0.484714092,0.214455496,0.48167368,0.027785123,0.156967948,0.015853851,-0.742400749,0,0.162122075,-0.091049964,-0.523882305,-0.197177689,-0.199102878,0.052162501,-0.137212847,0.337902917,-0.222529839,-0.495466627,0.50395641,-0.984216193,-0.292074796,-0.376912216,-0.064798699,0.12109128,-0.018940196,-0.752900865,-1.060853675,-0.836653667,-1.133324842,0.133528776,-0.452661429
O00560,-0.923311976,-0.983687947,-0.572272093,-1.121095151,-0.724644101,-0.509953791,-1.050951899,-1.609970096,-3.66941167,1.523640223,-0.147944089,0.248288638,-0.660909372,0.82905552,-2.234975674,0.810143914,-1.982946138,1.23612966,-0.696658643,-2.064345574,0.146413597,-0.196366078,-0.212342101,0.899678062,0.22039757,-0.64737256,0.875290234,0.594026937,0.132451658,-0.385311581,0.391759687,0.025816421,0.326484953,0.346551574,0.056246801,-0.303262242,0.913099671,0.334198258,0.231750671,-0.616719652,0.557496493,0.067299701,1.016751801,0.391640831,0.455244869,-0.863339503,-0.351803822,0.318380524,0.200840082,-0.848657216,1.115189878,-0.594718277,1.312797978,-1.066790409
O14737,-0.482438173,-0.391187306,0.037689603,0.460162144,0.297706202,-0.303965823,-0.600888195,-1.506792878,0.052711614,-0.278065397,-0.418086921,-0.712094892,-0.434283728,-0.594805685,-0.297809134,-0.026161602,0.039406651,-0.512169698,-0.030781127,-0.343994974,0.212623229,-0.160105278,-4.694278598,-0.718253332,0.147053665,-0.105653811,0.234846243,0.49146525,-0.11739699,0.071517695,0.255759195,0.509981796,0.518237054,0.293944851,0.44499951,0.500483298,0.13709877,0.615692719,0.110950609,0.471111154,0.301930563,-0.445834015,0.237961542,0.734265137,0.582576795,0.354200747,0.101134666,-0.183128003,0.037255849,0.263105026,-0.02433195,0.258184749,0.35456496,0.479799613
O14965,-0.733807805,-1.287063666,-1.263190638,0.619237405,-1.337171104,-1.943397214,-1.145382512,-1.366496746,-1.117561774,-1.186175679,-1.610372678,-0.029814548,-1.11455442,-1.977028672,-0.94766772,-0.95561329,-1.640251964,-1.153114264,-1.127550861,-0.421576958,0.842637883,-0.935736958,-1.068448883,-1.256548819,-0.63832657,-0.753907931,0.353329233,0.230765693,0.48618768,0.261578348,0.157472115,0.280249303,-0.028379476,0.244002027,0.416710043,0.237764149,0.193351888,0.66139021,0.424271722,-0.353216209,-0.137990317,0.445252784,0.593804633,0.138227658,0.28055632,0.529341891,-0.02515163,-0.226243147,0.217724538,0.409481379,0.150886449,-0.014028389,0.561115654,0.068729492
O60566,-0.400300964,-1.587188254,-1.194012605,-0.460399065,-0.977996746,-0.545159704,-1.919584019,-1.112923907,-0.49431501,-1.001073885,-1.137694251,-0.024743337,-0.207638974,-1.415046851,-0.891778305,-1.055028123,0.075029157,-0.574126885,0.095404126,-0.671462619,-0.302249831,-1.080682502,0.085115743,-1.094029637,-0.75995403,-1.151670853,0.24246295,0.56914557,-0.305262962,-0.728992469,0.195251495,-0.182768408,0.064712362,0.734660752,-0.33666908,-0.394774303,0.337986119,0.939663361,0.262659892,0.447217554,0.175293797,-0.436896899,0.895806137,0.01431565,0.444844334,0.012091384,0.348638148,0.086332945,0.13748984,0.012822051,0.106006941,0.774273348,0.33606019,0.270036267
O60825-2,-1.135169924,0.023796913,-0.713859904,-0.55542143,-1.445073506,-0.875955726,-0.640190739,-0.140646222,,-1.260534074,0.082606838,-0.108916496,-0.983935057,,0,0.930855997,-2.024712454,0.222281272,0.749156514,-0.083205162,-0.819127791,-1.088384485,,,0.413376891,-1.141705363,-0.248170827,0.634488928,0.801171664,-0.164251429,0.719917872,1.644825085,0.570204753,,0.652008265,-0.142548448,1.216762709,0.960613348,1.146753317,1.131546358,0.223307599,0.434551221,,0.171536114,-0.309761292,0.610502592,-0.05878611,,-1.77001905,-0.226834621,-0.12578232,,-0.7471333,-0.165907807
O60884,0.559071116,0.291907956,-0.487022163,-1.359682786,0.444477959,0.405849692,0.299365859,-0.22091032,1.071963877,-0.444291598,0.213257585,-0.472057733,0.099331101,0.729720595,-0.041996128,0.386021386,-0.90089495,0.127774545,0.239187461,0.307921133,0.479430657,-0.314673366,0.900011507,0.351632209,-0.277449218,0.300883361,-0.941979421,-0.199903516,0.058055706,-0.603436819,-0.76191935,-0.012782328,-0.452134312,-0.608932154,0.412197082,0.113047959,0.392708281,-0.042724893,0.333171455,0.086843713,0,0.02475577,-0.985754482,-1.032445877,-1.357349204,0.096583925,-0.866559387,-0.411766559,-0.521572842,0.042955211,0.052150076,-0.286456122,-0.076211255,-0.567523192
O75347,0.38055887,-0.205414508,-0.032284168,0.350868595,-0.735164404,-0.8378834,-0.132680078,-1.389076772,-0.444271152,-0.219195444,-0.270827662,0.018626921,0.053326582,-0.444528032,0.38728044,-0.407926419,-0.433162963,-0.303869719,-0.37140864,-0.239677574,-0.96661321,-0.465556378,0.232062256,-1.008282892,-0.079064265,0.027155605,0.199981853,-0.049759966,-0.062788605,0.038519759,0.017893387,0.089054774,0.470725216,0.818524348,0.517111581,0.728561528,0.303236098,0.751864404,-0.342873074,0.576529234,0.87284726,-0.755950491,0.967114329,-0.069234297,1.04142883,0.057126175,0.539052233,0.378678685,0.002691785,0.324011874,-1.197961478,-0.055900705,-0.082163663,0.735755587
